theta,std,delta,c3,beta,e3,e1,normType,e2,gamma,c1,sigma,c2,alpha,h1,activity,h2current song
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stephan Bodzin - Singularity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stephan Bodzin - Singularity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stephan Bodzin - Singularity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stephan Bodzin - Singularity
15.92,1944.514528435485,14.79,-0.18,14.31,2.85,5,2,5,13.71,-0.96,13.33,5,14.68,5,1,5,Stephan Bodzin - Singularity
15.02,1414.2993949225258,13.72,0.25,13.68,2.68,5,2,5,13.45,-0.67,12.63,5,14.24,5,1,5,Stephan Bodzin - Singularity
11.81,930.8802343293903,10.56,0.95,13.45,1.92,5,2,5,13.21,1.24,10.32,5,11.74,5,1,5,Stephan Bodzin - Singularity
12.28,972.3282132002756,10.87,0.72,13.49,2.05,5,2,5,13.27,0.96,10.51,5,11.98,5,1,5,Stephan Bodzin - Singularity
12.49,946.8267645858961,10.86,0.7,13.32,2.13,4.87,2,5,13.18,0.71,10.74,5,12.23,5,1,4.91,Stephan Bodzin - Singularity
12.9,965.5240208128325,12,0.5,13.29,2.29,5,2,5,13.12,0.36,11.16,5,12.52,5,1,5,Stephan Bodzin - Singularity
12.94,969.3855918535362,12.07,0.38,13.29,2.31,5,2,5,13.16,0.36,10.91,5,12.41,5,1,5,Stephan Bodzin - Singularity
12.74,965.6180376228391,12.19,0.44,13.35,2.25,5,2,5,13.19,0.5,11.08,5,12.3,5,1,5,Stephan Bodzin - Singularity
12.73,943.6339727923114,11.89,0.3,13.4,2.25,5,2,5,13.14,0.57,11.04,5,12.03,5,1,5,Stephan Bodzin - Singularity
11.6,906.016124244654,10.89,1.2,13.39,1.88,5,2,5,13.13,1.23,10.93,5,11.94,5,1,5,Stephan Bodzin - Singularity
12.1,935.5570853335771,10.94,1.04,13.52,1.97,5,2,5,13.23,1.06,10.92,5,12.17,5,1,5,Stephan Bodzin - Singularity
