theta,std,delta,c3,beta,e3,e1,normType,e2,gamma,c1,sigma,c2,alpha,h1,activity,h2,current song
15.29,2950.7919613647805,13.47,0.32,15.3,2.36,5,2,5,15.51,0.23,12.97,5,14.7,5,1,5,
15.46,3132.0931262927643,13.92,0.17,15.4,2.42,5,2,5,15.55,0.13,13.31,5,14.79,5,1,5,Stephan Bodzin - Singularity
15.28,3134.3747016671555,13.62,0.28,15.35,2.38,5,2,5,15.5,0.21,13.17,5,14.72,5,1,5,Stephan Bodzin - Singularity
15.23,3044.8919481348253,13.64,0.09,15.28,2.4,5,2,5,15.45,0.22,12.88,5,14.44,5,1,5,Stephan Bodzin - Singularity
14.5,2272.3477836948623,13.79,0.21,14.92,2.37,5,2,5,14.74,0.27,12.43,5,13.97,5,1,5,Stephan Bodzin - Singularity
13.7,1932.0286142977818,12.96,0.46,14.67,2.14,5,2,5,14.71,0.83,12.42,5,13.21,5,1,5,Stephan Bodzin - Singularity
14.09,1964.8835881853815,12.89,0.43,14.54,2.24,5,2,5,14.7,0.55,12.42,5,13.53,5,1,5,Stephan Bodzin - Singularity
14.22,2036.154715667699,12.84,0.72,14.63,2.2,5,2,5,14.7,0.51,12.63,5,13.96,5,1,5,Stephan Bodzin - Singularity
14.17,2057.8900966179,12.82,0.59,14.62,2.22,5,2,5,14.74,0.53,12.91,5,13.8,5,1,5,Stephan Bodzin - Singularity
14.01,2044.8883336232673,12.8,0.65,14.63,2.17,5,2,5,14.78,0.64,12.94,5,13.72,5,1,5,Stephan Bodzin - Singularity
13.26,2070.567039169313,12.09,1.26,14.8,1.91,5,2,5,14.77,1.13,12.91,5,13.7,5,1,5,Stephan Bodzin - Singularity
12.84,2170.94757244969,12.01,1.2,14.99,1.8,5,2,5,14.96,1.49,12.85,5,13.25,5,1,5,Stephan Bodzin - Singularity
13.2,2227.752100633822,12.16,1.42,15.14,1.79,5,2,5,14.96,1.39,11.93,5,13.73,5,1,5,Stephan Bodzin - Singularity
13.19,2262.7592571620385,12.3,1.44,15.14,1.77,5,2,5,15.08,1.44,12.02,5,13.72,5,1,5,Stephan Bodzin - Singularity
13.33,2257.821591629444,12.37,1.37,15.14,1.8,5,2,5,15.1,1.38,12.57,5,13.75,5,1,5,Stephan Bodzin - Singularity
13.18,2205.4108530558988,11.93,1.52,15.13,1.78,5,2,5,14.97,1.39,12.64,5,13.83,5,1,5,Stephan Bodzin - Singularity
12.88,2141.8062504449986,11.63,1.42,15.01,1.73,5,2,5,15.03,1.58,12.51,5,13.39,5,1,5,Stephan Bodzin - Singularity
13.12,2229.374167134656,11.56,1.3,15.12,1.77,5,2,5,15.04,1.51,12.62,5,13.43,5,1,5,Stephan Bodzin - Singularity
